nama_produk,harga,harga_tidak_diskon,ketersediaan_stock
"  Ibanez RG450DXB-WH Electric Guitar, White  ",9090000,, Available for Pre-Order 
"  Fender Ltd Ed Mike McCready Stratocaster Electric Guitar, RW FB, 3-Tone Sunburst  ",42895000,, Available for Pre-Order 
"  Squier FSR Sonic Stratocaster HSS Electric Guitar w/White Pickguard, Maple FB, Sonic Grey  ",3950000,, Available on Request 
"  Squier FSR Sonic Stratocaster HSS Electric Guitar w/White Pickguard, Maple FB, Arctic White  ",3950000,, Available on Request 
"  Squier Paranormal Strat-O-Sonic Electric Guitar, Laurel FB, Vintage Blonde  ",9030000,, Available on Request 
"  Squier FSR Sonic Stratocaster Electric Guitar w/White Pickguard, Maple FB, Surf Green  ",3950000,, Available on Request 
"  Squier Sonic Stratocaster HSS Electric Guitar w/Black Pickguard, Maple FB, Black  ",3950000,, Available on Request 
"  Fender Japan Traditional II 60s Telecaster Electric Guitar, RW FB, Olympic White / Blue Stripes  ",18975000,, Available for Pre-Order 
"  Squier FSR Classic Vibe 50s Telecaster Electric Guitar, Maple FB, Vintage Blonde  ",9320000,, Available on Request 
"  Ibanez SA260FM-TGB Electric Guitar, Transparent Gray Burst  ",5635000,, Available for Pre-Order 
"  Ibanez GRG121DX-BKF Electric Guitar, Black Night  ",3510000,, Available for Pre-Order 
"  Ibanez RG421-MOL Electric Guitar, Mahogany Oil  ",5635000,, Available for Pre-Order 
"  Ibanez Gio GRX70QA-TRB Electric Guitar, Transparent Red Burst  ",3105000,, Available for Pre-Order 
"  Ibanez Gio GRX70QA-TKS Electric Guitar, Transparent Black Sunburst  ",3105000,, Available for Pre-Order 
"  Charvel MJ DK24 HSH 2PT Mahogany w/ Figured Walnut Electric Guitar, Streaky Ebony FB, Natural  ",35655000,, Available on Request 
"  Ibanez GRGR131EX-BKF Electric Guitar, Black Flat  ",3210000,, Available for Pre-Order 
"  Squier Affinity Series Telecaster Electric Guitar, Laurel FB, Lake Placid Blue  ",5175000,, Available on Request 
"  Ibanez JEMJR-WH Steve Vai Signature Electric Guitar, White  ",8110000,, Available for Pre-Order 
"  Jackson JS Series Dinky Arch Top JS32Q DKA Electric Guitar, Amaranth FB, Trans Green Burst  ",8455000,, Available on Request 
"  EVH Striped Series 5150 Electric Guitar, Maple FB, Red Black White Stripes  ",32665000,, Available on Request 
"  Squier Classic Vibe 60s Jazzmaster Electric Guitar, Laurel FB, 3-Tone Sunburst  ",8570000,, Available on Request 
"  Congress CST100 MP HT Electric Guitar, Fiesta Red  ",1999000,, In Stock 
"  Congress CST150 LR SSS Electric Guitar, Sonic Blue  ",2099000,, In Stock 
"  Congress CTE100 MP Electric Guitar, Blonde  ",2099000,, In Stock 
"  Congress CST150 LR HSS Electric Guitar, Fiesta Red  ",2099000,, In Stock 
"  Heritage Ascent+ Collection H-535 Electric Guitar, Sunburst  ",9800000,, In Stock 
"  Heritage Ascent+ Collection H-535 Electric Guitar, Scarlet Red Burst  ",9800000,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Matte Charcoal  ",4000000,, In Stock 
"  Heritage Standard H-535 Semi-Hollow Electric Guitar with Case, Original Sunburst  ",46250000,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Sunburst  ",4000000,, In Stock 
"  Harmony Standard Series Jupiter Electric Guitar w/Case, RW FB, Space Black  ",23000000,, In Stock 
"  Heritage Standard H-535 Semi-Hollow Electric Guitar with Case, Trans Cherry  ",46250000,, In Stock 
